Old Name,New Name,Approve (Y/N),Notes
Thymus vulgaris oil,thymus vulgaris,,
Tilia flower,tilia,,
Tilia leaves,tilia,,
Tilio-gawafa,tilio gawafa,,
Tiotropium 18 mcg,tiotropium,,
Tocopherol (Vitamin E),tocopherol,,
Tolterodine L-tartrate,tolterodine l tartrate,,
Trans-resveratrol,trans resveratrol,,
Trichogen LS 9922,trichogen ls,,
Trigonella foenum-graecum,trigonella foenum graecum,,
Turmeric oil,turmeric,,
Turmeric powder,turmeric,,
Turmeric Powder,turmeric,,
Turmeric rhizome powder,turmeric rhizome,,
Turmeric Root Powder,turmeric,,
Turpentine oil,turpentine,,
Turpentine Oil,turpentine,,
Tween 20,tween,,
Tyrostat 11,tyrostat,,
UC-II,uc ii,,
Uro-Vaxom Lyophilizate,uro vaxom lyophilizate,,
Urtica dioica germ oil,urtica dioica germ,,
Uva ursi leaves,uva ursi,,
UVA/UVB Filters,uva uvb filters,,
Verisol Type 1 Collagen,verisol type collagen,,
Vine Leaves,vine,,
Vital hair & scalp complex,vital hair scalp complex,,
Vital Hair & Scalp Complex,vital hair scalp complex,,
Vitamin (unspecified),vitamin,,
Vitamin A (beta carotene),vitamin a,,
Vitamin B6 (pyridoxine HCl),vitamin b,,
Vitamin H (Biotin),vitamin h,,
Watercress Oil,watercress,,
Wheat germ,wheatgerm,,
Wheat Germ,wheatgerm,,
Wheat germ oil,wheatgerm,,
Wheat Germ Oil,wheatgerm,,
Wheatgerm oil,wheatgerm,,
Wheatgerm Oil,wheatgerm,,
Whey powder,whey,,
Whey powder concentrate,whey concentrate,,
White pine ext,white pine,,
Wintergreen Oil,wintergreen,,
Witch hazel leaf,witch hazel,,
Zea mays oil,zea mays,,
Zea Mays Oil,zea mays,,
Zingiber Root Oil,zingiber,,
